id_filme,titulo,palavras_chave,popularidade
8427,I Spy,sophisticated prototype stealth fighter created yet; world class boxing champion kelly robinson; dangerous top secret espionage mission; using equal parts skill; successful arms dealers,13.267631
15581,Who's Your Caddy?,white carolina pines country club; street smart; rapper christopher; hardly ready; big boi,2.881239
9893,Sleepover,one last summer sleepover; high school looms ahead; long scavenger hunt; best friends julie; take part,5.842299
18530,The Cry of the Owl,young woman becomes inexplicably attracted; boyfriend goes missing; betrayal turns deadly; immediate suspect; stalking,4.75919
767,Harry Potter and the Half-Blood Prince,"old book marked; blood prince ',; sixth year; lord voldemort; dark past",98.885637
395,AVP: Alien vs. Predator,scientists discover something; research team; predator race; hunting ground; buried pyramid,42.957216
12088,Fortress,future us emigration point; private corporation bent; futuristic one run; resulting prison experience; futuristic prison movie,8.708229
1597,Meet the Parents,humorless former cia agent jack byrnes; byrnes home turns; must win; hilarious series; hawklike gaze,29.97224
183894,Emma,cannot resist finding suitors; emma woodhouse seems; terrible habit; perfectly content; loving father,2.135689
1574,Chicago,roxie hart find; murderesses velma kelly; death row together; 1920s chicago; keep,32.217425
15017,Blonde Ambition,young professional woman; two business executives; unwittingly becomes; simpson; pawn,3.064563
34043,On the Line,n sync heartthrobs lance bass; joey fatone stretch; wallpapering chicago; thespian muscles; subway train,3.084874
17403,How to Deal,young hip high school student; first time leaving halley; mandy moore stars; crazy relationships around; younger woman halley,3.199784
2280,Big,ups including getting; josh baskin makes; first romantic encounter; old boy inside; grown older overnight,20.716023
37834,Knight and Day,survival ultimately hinging; sometimes deadly adventure; fugitive couple goes; amid shifting alliances; one – even,44.906918
9946,End of Days,old woman named christine york; atheist called jericho cane; new york city; hope lies within; getting ready,20.652943
289,Casablanca,cynical american expatriate meets; unforeseen complications; former lover; december 1941; morocco,43.729123
260346,Taken 3,government operative bryan mills finds; savvy police inspector; mills employs; unique brand; real killer,88.844777
873,The Color Purple,"epic tale spanning forty years; danny glover ), things go; whoopi goldberg ),; survives incredible abuse; find companionship anywhere",17.571533
299145,Stranded,town surfer seeks revenge; must seek forgiveness; another tragedy brings; merciless thugs; holds responsible,3.230779
9600,Big Momma's House,crass southern granny known; smart fbi agent; beautiful single mother; remain incognito; escaped convict,24.389194
3172,Bandits,two bank robbers fall; love; kidnapped; girl,24.353302
83860,October Baby,naive college freshman; road trip; october baby; entire life; age story,1.86221
535,Flashdance,oscar winning song; popular 1980 ’; true desire; side job; professional dancer,18.422323
