id_usuario,id_filme,assistiu
1,948,1
1,2105,1
1,49047,1
1,253331,1
1,58,1
1,18713,1
1,11775,1
1,168672,1
1,199,1
1,1494,1
1,3587,1
1,291362,1
1,14156,1
1,11459,1
1,41479,1
1,10117,1
1,24,1
1,48463,1
1,222935,1
1,1833,1
1,9045,1
1,34723,1
1,11015,1
1,62116,1
1,161795,1
1,73247,1
1,45658,1
2,4944,1
2,1090,1
2,11564,1
2,17663,1
2,9104,1
2,12088,1
2,9689,1
2,100275,1
2,270554,1
2,10336,1
2,10117,1
2,43933,1
2,1372,1
2,26352,1
2,14034,1
2,8842,1
2,55561,1
3,12154,1
3,64328,1
3,1880,1
3,74725,1
3,34647,1
3,37724,1
3,71805,1
3,225886,1
3,312791,1
3,25461,1
3,608,1
3,113947,1
3,2080,1
4,5255,1
4,947,1
4,2447,1
4,238636,1
4,20296,1
4,13908,1
4,9053,1
4,1422,1
4,11598,1
4,77883,1
4,77930,1
4,274,1
4,10727,1
5,7451,1
5,8469,1
5,1648,1
5,9032,1
5,4922,1
5,17202,1
5,534,1
5,68202,1
5,7278,1
5,1833,1
5,10925,1
5,71552,1
5,64328,1
5,11564,1
5,45324,1
5,44638,1
6,18501,1
6,10402,1
6,1619,1
6,31535,1
6,14202,1
6,70436,1
6,72387,1
6,10159,1
6,18516,1
6,103,1
6,22881,1
6,100,1
6,44638,1
6,270946,1
6,38745,1
6,11113,1
6,58,1
6,64689,1
6,398,1
6,9533,1
6,11132,1
7,210577,1
7,11601,1
7,7518,1
7,2133,1
7,2074,1
7,228161,1
7,673,1
7,1366,1
7,112949,1
7,19899,1
7,206412,1
7,24,1
7,50456,1
7,126186,1
7,7870,1
7,14538,1
7,14359,1
7,1734,1
7,1858,1
7,859,1
7,39538,1
7,14337,1
7,9625,1
7,297596,1
7,17431,1
7,1359,1
7,320146,1
7,9705,1
7,17577,1
7,10013,1
8,2359,1
8,14022,1
8,9273,1
8,11775,1
8,56288,1
8,77156,1
8,1282,1
8,9029,1
8,244403,1
8,139998,1
8,10416,1
8,25983,1
8,18925,1
8,257211,1
8,98369,1
8,274,1
8,7518,1
8,39806,1
8,8065,1
8,9675,1
8,155,1
8,96534,1
8,274854,1
8,11858,1
8,27404,1
8,9637,1
8,8584,1
8,270554,1
8,333348,1
8,87428,1
9,77332,1
9,292481,1
9,8487,1
9,10877,1
9,10184,1
9,36657,1
9,36047,1
9,126319,1
9,98,1
9,11858,1
9,859,1
9,34043,1
9,87428,1
9,1844,1
9,11386,1
9,9312,1
9,77883,1
9,2080,1
9,319910,1
9,70436,1
9,78381,1
9,14014,1
9,43933,1
10,13908,1
10,14624,1
10,25195,1
10,45324,1
10,18530,1
10,9942,1
10,9574,1
10,18828,1
10,9746,1
10,244403,1
10,11586,1
10,68726,1
10,266856,1
11,218778,1
11,5708,1
11,9613,1
11,13824,1
11,101179,1
11,4232,1
11,72545,1
11,58882,1
11,100,1
11,62116,1
11,9637,1
11,76757,1
11,266856,1
11,11467,1
11,59965,1
12,70981,1
12,8427,1
12,12211,1
12,15268,1
12,2022,1
12,299145,1
12,948,1
12,10480,1
12,18841,1
12,3536,1
12,10390,1
12,312791,1
12,303858,1
12,16337,1
12,130150,1
12,12618,1
12,39538,1
12,294254,1
12,238636,1
12,119283,1
12,43839,1
12,19908,1
12,1999,1
12,11191,1
12,13460,1
12,10160,1
13,10397,1
13,35688,1
13,49017,1
13,294254,1
13,76349,1
13,787,1
13,9273,1
13,11519,1
13,227159,1
